name,date,event,role,fee
Dwight Drummond,2014-10-07,1000 Dinners TO,Host,Unpaid
Nana Aba Duncan,2014-10-07,1000 Dinners TO,Participant,Unpaid
Anne-Marie Mediwake,2014-10-07,1000 Dinners TO,Host,Unpaid
Sonali Karnick,2014-10-07,Knowlton Academy Career Day,Lecture,Unpaid
Nola Keeler,2014-10-06,St. Mark's Jr. High School,Reader,Unpaid
Margaret Gallagher,2014-10-06,International Chocolate Awards,Judge,Unpaid
Angela Knight,2014-10-06,The Alex Community Health Centre,Host,Unpaid
Amanda Pfeffer,2014-10-06,Hampton-Iona Community Association : All Candidates Debate for the Ottawa Kitchissipi Ward,Moderator,Unpaid
Lucy van Oldenbarneveld,2014-10-06,Ottawa Symphony Orchestra: Fundraiser Concert and Reception,Host,Unpaid
Rita Celli,2014-10-05,Dragonfly Dance Fundraiser,Host,Unpaid
Mariel Borelli,2014-10-05,Small World Music Festival,Host,Unpaid
Margaret Gallagher,2014-10-05,Growing Chefs Fundraiser,Host,Unpaid
Sonali Karnick,2014-10-05,Kabir Cultural Centre Cinema of South Asia,Panelist,Unpaid
Stephanie Domet,2014-10-05,FogLit Festival,Reading,Paid
Peter Coade,2014-10-04,The Global March for Elephant and Rhinos,Lecture,Unpaid
Sandi Coleman,2014-10-04,United Way Breakfast,Host,Unpaid
Belle Puri,2014-10-04,City of New Westminster's Wait for Me Daddy statue unveiling,Host,Unpaid
Margaret Gallagher,2014-10-04,Community Roots Cafe Forum,Moderator,Unpaid
Wendy Bergfeldt,2014-10-04,Cape Breton Highlanders Association Change of Command Ceremony and Reception,Appearance,Unpaid
Hance Colburne,2014-10-03,Fog Lit Literacy Festival,Host,Unpaid
Matthew McCann,2014-10-03,Eastern Labrador Arts Alliance 5 Year Celebrations,Host,Unpaid
Bailey White,2014-10-03,Eastern Labrador Arts Alliance 5 Year Celebrations,Host,Unpaid
Peter Mansbridge,2014-10-03,Chat with the Chief Justice Beverley McLachlin,OnStage Interview,Unpaid
Amanda Lang,2014-10-03,Canadian News Wire Breakfast - The State of Canadian Media,Panelist,Unpaid
Farah Singh,2014-10-03,Regina Folk Festival Concert Series:The Harpoonist and The Axe Murderer,Host,Unpaid
Amanda Lang,2014-10-02,Women's Brain Health Initiative,Moderator,Unpaid
Andrea Huncar,2014-10-02,Mahatma Gandhi Commemorative Banquet,Host,Unpaid
Belle Puri,2014-10-02,City of New Westminster/Chamber of Commerce Economic Forum,Host,Unpaid
Steven D’Souza,2014-10-02,Ellevate Network Leadership Series: Women in Politics,Moderator,Unpaid
Alistair Steele,2014-10-02,Rogers TV / Talk Ottawa : Panel on Ottawa Municipal Elections,Panelist,Unpaid
Mike Finnerty,2014-10-02,Jon Davis music video launch,Host,Unpaid
Diana Swain,2014-10-02,Canadian Society of Association Executives  Awards Gala,Host,Unpaid
Amanda Lang,2014-10-01,Empire Club in conversation with Eric Schmidt - How Google Works,Moderator,Unpaid
Miyoung Lee,2014-10-01,Surrey Municipal Election Make Your Vote Count,Appearance,Unpaid
Caroline Barghout,2014-10-01,Miles Macdonell School Civic Election Debate,Moderator,Unpaid
Wendy Mesley,2014-10-01,Calgary Real Estate Women's Day,Speech,Paid
Matt Galloway,2014-09-30,Diversity Dialogues,Moderator,Unpaid
Andrew Chang,2014-09-30,Art of Leadership,Host,Unpaid
Laurence Wall,2014-09-30,Ottawa Architecture Week  Panel discussion,Host,Unpaid
Pauline Dakin,2014-09-30,IWK Health Centre:  Innovation in Health Care.,Moderator,Unpaid
Tom Harrington,2014-09-29,Easter Seals Drop Zone,Host,Unpaid
Amanda Lang,2014-09-29,Toronto Board of Trade Distinguished Speaker Series,Host,Unpaid
Jennifer Chen,2014-09-28,Word Vancouver,Moderator,Unpaid
Lien Young,2014-09-28,Hawksworth Young Chef Scholarship Foundation's Fundraising Dinner Gala,Host,Unpaid
Margaret Gallagher,2014-09-28,Word on the Street,Host,Unpaid
Laurence Wall,2014-09-28,Orkidstra Concert,Host,Unpaid
Zach Goudie,2014-09-28,Give the Gift of Life Walk,Host,Unpaid
Wendy Bergfeldt,2014-09-28,5th Annual Benefit Concert for the Cancer Patient Fund,Host,Unpaid
David Gray,2014-09-27,Calgary Film Festival,Host,Unpaid
Mark Connolly,2014-09-27,Melissa's Road Race,Host,Unpaid
Stephen Quinn,2014-09-27,Reinventing Radio: An Evening with Ira Glass,Host,Unpaid
Bob Steele,2014-09-26,Book Fest Windsor Panel Discussion,Moderator,Unpaid
Natalie Clancy,2014-09-26,Women in Media - Golf Classic for Autism,Appearance,Unpaid
Sara Fraser,2014-09-26,Women's Network PEI,Moderator,Unpaid
Peter Mansbridge,2014-09-26,Jaime Anderson Parliamentary Interns Fundraiser,Keynote,Unpaid
Cecil Haire,2014-09-25,CHHA-NL Awards Ceremony,Host,Unpaid
Jacques Poitras,2014-09-25,Institute of Public Administration of Canada and St. Thomas University post-election forum,Panelist,Unpaid
Bruce Rainnie,2014-09-25,MRSB Group,Speaker,Unpaid
Reshmi Nair,2014-09-25,Journalists for Human Rights Gala,Host,Unpaid
Margaret Gallagher,2014-09-24,Vancouver Public Library Hapa-polooza,Performer,Paid
